seed,split,field_strength,n,accuracy,ppv,npv,sensitivity,specificity,nll,brier,predicted_positive_rate
2025,training,1.5T,4781,1.0,1.0,,1.0,,1.9678504983963625e-05,5.003480887655473e-08,1.0
2025,training,3T,4781,1.0,,1.0,,1.0,0.002373701085652289,0.00016286605103907914,0.0
2025,validation,1.5T,1788,0.9759507829977628,1.0,0.0,0.9759507829977628,,0.07578597045039648,0.019347236287926107,0.9759507829977628
2025,validation,3T,1788,0.9983221476510067,0.0,1.0,,0.9983221476510067,0.008717907889495806,0.0019241240127073,0.0016778523489932886
2025,test,1.5T,3078,0.5818713450292398,0.52,0.9925558312655087,0.9978479196556671,0.2375296912114014,4.479018075879062,0.403252368695634,0.8690708252111761
2025,test,3T,3710,0.4768194070080862,0.8105263157894737,0.46804979253112033,0.0385,0.9894736842105263,4.237675314367483,0.5019556350883898,0.025606469002695417
2026,training,1.5T,4781,1.0,1.0,,1.0,,0.00025637368416379344,1.5440195660650396e-05,1.0
2026,training,3T,4781,0.999790838736666,0.0,1.0,,0.999790838736666,0.003964296388945221,0.0004952913342599114,0.00020916126333403055
2026,validation,1.5T,1788,0.982662192393736,1.0,0.0,0.982662192393736,,0.06105379362716657,0.0139796386771638,0.982662192393736
2026,validation,3T,1788,0.9966442953020134,0.0,1.0,,0.9966442953020134,0.01045057584781072,0.0024835777883036115,0.003355704697986577
2026,test,1.5T,3078,0.5779727095516569,0.5177969276882728,0.9706601466992665,0.9913916786226685,0.23574821852731592,4.0362759602536356,0.40370736085006914,0.8671215074723847
2026,test,3T,3710,0.4609164420485175,0.5,0.4605764002175095,0.008,0.9906432748538012,3.8578939004201533,0.5159554878168636,0.00862533692722372
2027,training,1.5T,4781,1.0,1.0,,1.0,,7.762392502390882e-05,2.2761886059780228e-07,1.0
2027,training,3T,4781,0.9987450324199958,0.0,1.0,,0.9987450324199958,0.005946048712673521,0.0012268591148924955,0.0012549675800041832
2027,validation,1.5T,1788,0.9899328859060402,1.0,0.0,0.9899328859060402,,0.034666423177306865,0.008966697838663558,0.9899328859060402
2027,validation,3T,1788,0.9921700223713646,0.0,1.0,,0.9921700223713646,0.025932391304293447,0.007291237088753079,0.007829977628635347
2027,test,1.5T,3078,0.5633528265107213,0.5091844232182219,0.9775280898876404,0.994261119081779,0.20665083135391923,4.137031972726282,0.41485867970707024,0.8843404808317089
2027,test,3T,3710,0.4733153638814016,0.7395833333333334,0.46624239070282236,0.0355,0.9853801169590644,3.6061136899763824,0.5023365870256923,0.02587601078167116
