split,metric,paper,seed_2025,seed_2026,seed_2027,reproduction_mean,reproduction_sample_std,difference_from_paper
training,accuracy,0.99,1.0,0.999895419368333,0.9993725162099979,0.9997559785261103,0.00033617969605359647,0.00975597852611032
training,ppv,0.98,1.0,0.9997908824759515,0.9987466053895968,0.9995124959551828,0.0006714713721047449,0.019512495955182785
training,npv,0.99,1.0,1.0,1.0,1.0,0.0,0.010000000000000009
validation,accuracy,0.99,0.9871364653243848,0.9896532438478747,0.9910514541387024,0.9892803877703207,0.0019839482339478413,-0.0007196122296793117
validation,ppv,1.0,0.9982837528604119,0.996596710153148,0.992152466367713,0.995677643127091,0.0031672830095646537,-0.00432235687290905
validation,npv,0.98,0.9764770240700219,0.9829012686155544,0.9899553571428571,0.9831112166094779,0.006741618813436805,0.003111216609477885
test,accuracy,0.52,0.5244549204478491,0.5139952857984679,0.5141426045963465,0.5175309369475545,0.00599679800737996,-0.0024690630524455415
test,ppv,0.62,0.5299638989169675,0.5175860792299148,0.5170333569907736,0.5215277783792186,0.00731111980232723,-0.0984722216207814
test,npv,0.41,0.520657043305127,0.5116222167849278,0.5120906801007556,0.5147899800636034,0.005086421903420539,0.10478998006360346
