seed,split,field_strength,bin_index,bin_lower,bin_upper,count,mean_predicted_probability,observed_positive_fraction,absolute_gap
2025,training,all,0,0.0,0.1,4762,0.0016473830383331633,0.0,0.0016473830383331633
2025,training,all,1,0.1,0.2,16,0.14356777723878622,0.0,0.14356777723878622
2025,training,all,2,0.2,0.30000000000000004,2,0.23483460396528244,0.0,0.23483460396528244
2025,training,all,3,0.30000000000000004,0.4,1,0.3000546395778656,0.0,0.3000546395778656
2025,training,all,9,0.9,1.0,4781,0.9999803904209444,1.0,1.960957905555727e-05
2025,training,1.5T,9,0.9,1.0,4781,0.9999803904209444,1.0,1.960957905555727e-05
2025,training,3T,0,0.0,0.1,4762,0.0016473830383331633,0.0,0.0016473830383331633
2025,training,3T,1,0.1,0.2,16,0.14356777723878622,0.0,0.14356777723878622
2025,training,3T,2,0.2,0.30000000000000004,2,0.23483460396528244,0.0,0.23483460396528244
2025,training,3T,3,0.30000000000000004,0.4,1,0.3000546395778656,0.0,0.3000546395778656
2025,validation,all,0,0.0,0.1,1780,0.002788977017042702,0.011797752808988765,0.009008775791946063
2025,validation,all,1,0.1,0.2,17,0.1441026286167257,0.4117647058823529,0.2676620772656272
2025,validation,all,2,0.2,0.30000000000000004,12,0.23632371673981348,0.5,0.26367628326018655
2025,validation,all,3,0.30000000000000004,0.4,10,0.33831446468830106,0.5,0.16168553531169894
2025,validation,all,4,0.4,0.5,9,0.4412336481942071,0.4444444444444444,0.0032107962502373466
2025,validation,all,5,0.5,0.6000000000000001,9,0.5343788928455777,0.8888888888888888,0.3545099960433111
2025,validation,all,6,0.6000000000000001,0.7000000000000001,4,0.6547391563653946,0.5,0.1547391563653946
2025,validation,all,7,0.7000000000000001,0.8,6,0.7633964717388153,1.0,0.2366035282611847
2025,validation,all,8,0.8,0.9,10,0.8560345828533172,1.0,0.14396541714668276
2025,validation,all,9,0.9,1.0,1719,0.9986225292043259,1.0,0.001377470795674074
2025,validation,1.5T,0,0.0,0.1,21,0.02641985398562004,1.0,0.9735801460143799
2025,validation,1.5T,1,0.1,0.2,7,0.1482763279761587,1.0,0.8517236720238412
2025,validation,1.5T,2,0.2,0.30000000000000004,6,0.23998561749855676,1.0,0.7600143825014433
2025,validation,1.5T,3,0.30000000000000004,0.4,5,0.3341282308101654,1.0,0.6658717691898346
2025,validation,1.5T,4,0.4,0.5,4,0.44245806336402893,1.0,0.5575419366359711
2025,validation,1.5T,5,0.5,0.6000000000000001,8,0.5365862771868706,1.0,0.4634137228131294
2025,validation,1.5T,6,0.6000000000000001,0.7000000000000001,2,0.6371462643146515,1.0,0.3628537356853485
2025,validation,1.5T,7,0.7000000000000001,0.8,6,0.7633964717388153,1.0,0.2366035282611847
2025,validation,1.5T,8,0.8,0.9,10,0.8560345828533172,1.0,0.14396541714668276
2025,validation,1.5T,9,0.9,1.0,1719,0.9986225292043259,1.0,0.001377470795674074
2025,validation,3T,0,0.0,0.1,1759,0.0025068573943365486,0.0,0.0025068573943365486
2025,validation,3T,1,0.1,0.2,10,0.1411810390651226,0.0,0.1411810390651226
2025,validation,3T,2,0.2,0.30000000000000004,6,0.2326618159810702,0.0,0.2326618159810702
2025,validation,3T,3,0.30000000000000004,0.4,5,0.3425006985664368,0.0,0.3425006985664368
2025,validation,3T,4,0.4,0.5,5,0.44025411605834963,0.0,0.44025411605834963
2025,validation,3T,5,0.5,0.6000000000000001,1,0.5167198181152344,0.0,0.5167198181152344
2025,validation,3T,6,0.6000000000000001,0.7000000000000001,2,0.6723320484161377,0.0,0.6723320484161377
2025,test,all,0,0.0,0.1,3737,0.006585264883229155,0.4779234680224779,0.4713382031392488
2025,test,all,1,0.1,0.2,126,0.1428816785060224,0.5396825396825397,0.39680086117651725
2025,test,all,2,0.2,0.30000000000000004,82,0.2469328332964967,0.47560975609756095,0.22867692280106425
2025,test,all,3,0.30000000000000004,0.4,34,0.3432352428927141,0.5,0.15676475710728588
2025,test,all,4,0.4,0.5,39,0.443270145318447,0.41025641025641024,0.03301373506203675
2025,test,all,5,0.5,0.6000000000000001,31,0.5479805507967549,0.3548387096774194,0.19314184111933552
2025,test,all,6,0.6000000000000001,0.7000000000000001,32,0.6547222305089235,0.4375,0.21722223050892353
2025,test,all,7,0.7000000000000001,0.8,44,0.7562036880038001,0.38636363636363635,0.36984005164016376
2025,test,all,8,0.8,0.9,61,0.8610834684528288,0.26229508196721313,0.5987883864856156
2025,test,all,9,0.9,1.0,2602,0.996872592737453,0.541890853189854,0.454981739547599
2025,test,1.5T,0,0.0,0.1,285,0.020847559138698905,0.0,0.020847559138698905
2025,test,1.5T,1,0.1,0.2,40,0.1428385253995657,0.0,0.1428385253995657
2025,test,1.5T,2,0.2,0.30000000000000004,40,0.2502935014665127,0.025,0.2252935014665127
2025,test,1.5T,3,0.30000000000000004,0.4,15,0.347864309946696,0.06666666666666667,0.28119764328002933
2025,test,1.5T,4,0.4,0.5,23,0.44688235028930334,0.043478260869565216,0.40340408941973815
2025,test,1.5T,5,0.5,0.6000000000000001,20,0.5453990280628205,0.05,0.4953990280628205
2025,test,1.5T,6,0.6000000000000001,0.7000000000000001,18,0.6470976107650332,0.05555555555555555,0.5915420552094777
2025,test,1.5T,7,0.7000000000000001,0.8,28,0.7487510847193855,0.07142857142857142,0.677322513290814
2025,test,1.5T,8,0.8,0.9,45,0.8609399106767442,0.15555555555555556,0.7053843551211887
2025,test,1.5T,9,0.9,1.0,2564,0.9973104145616154,0.5382215288611545,0.4590888857004609
2025,test,3T,0,0.0,0.1,3452,0.00540775797048035,0.5173812282734647,0.5119734703029843
2025,test,3T,1,0.1,0.2,86,0.14290174971832786,0.7906976744186046,0.6477959247002767
2025,test,3T,2,0.2,0.30000000000000004,42,0.2437321969441005,0.9047619047619048,0.6610297078178042
2025,test,3T,3,0.30000000000000004,0.4,19,0.3395807162711495,0.8421052631578947,0.5025245468867452
2025,test,3T,4,0.4,0.5,16,0.43807760067284107,0.9375,0.49942239932715893
2025,test,3T,5,0.5,0.6000000000000001,11,0.5526742284948175,0.9090909090909091,0.35641668059609155
2025,test,3T,6,0.6000000000000001,0.7000000000000001,14,0.6645253130367824,0.9285714285714286,0.2640461155346462
2025,test,3T,7,0.7000000000000001,0.8,16,0.7692457437515259,0.9375,0.16825425624847412
2025,test,3T,8,0.8,0.9,16,0.8614872246980667,0.5625,0.2989872246980667
2025,test,3T,9,0.9,1.0,38,0.9673311412334442,0.7894736842105263,0.1778574570229179
2026,training,all,0,0.0,0.1,4742,0.0020158206338686565,0.0,0.0020158206338686565
2026,training,all,1,0.1,0.2,25,0.13335443735122682,0.0,0.13335443735122682
2026,training,all,2,0.2,0.30000000000000004,11,0.257142038507895,0.0,0.257142038507895
2026,training,all,3,0.30000000000000004,0.4,2,0.395129919052124,0.0,0.395129919052124
2026,training,all,7,0.7000000000000001,0.8,2,0.770095556974411,0.5,0.270095556974411
2026,training,all,8,0.8,0.9,1,0.8466112017631531,1.0,0.15338879823684692
2026,training,all,9,0.9,1.0,4779,0.9998269231655179,1.0,0.00017307683448208877
2026,training,1.5T,7,0.7000000000000001,0.8,1,0.7965238094329834,1.0,0.2034761905670166
2026,training,1.5T,8,0.8,0.9,1,0.8466112017631531,1.0,0.15338879823684692
2026,training,1.5T,9,0.9,1.0,4779,0.9998269231655179,1.0,0.00017307683448208877
2026,training,3T,0,0.0,0.1,4742,0.0020158206338686565,0.0,0.0020158206338686565
2026,training,3T,1,0.1,0.2,25,0.13335443735122682,0.0,0.13335443735122682
2026,training,3T,2,0.2,0.30000000000000004,11,0.257142038507895,0.0,0.257142038507895
2026,training,3T,3,0.30000000000000004,0.4,2,0.395129919052124,0.0,0.395129919052124
2026,training,3T,7,0.7000000000000001,0.8,1,0.7436673045158386,0.0,0.7436673045158386
2026,validation,all,0,0.0,0.1,1767,0.0026340003090075184,0.00792303338992643,0.005289033080918911
2026,validation,all,1,0.1,0.2,26,0.1414743782236026,0.19230769230769232,0.050833314084089726
2026,validation,all,2,0.2,0.30000000000000004,6,0.2547409658630689,0.5,0.24525903413693112
2026,validation,all,3,0.30000000000000004,0.4,7,0.33321493438311983,0.42857142857142855,0.09535649418830872
2026,validation,all,4,0.4,0.5,7,0.4447793321950095,0.8571428571428571,0.4123635249478476
2026,validation,all,5,0.5,0.6000000000000001,8,0.5365590155124664,0.625,0.08844098448753357
2026,validation,all,6,0.6000000000000001,0.7000000000000001,7,0.6496947833469936,1.0,0.3503052166530064
2026,validation,all,7,0.7000000000000001,0.8,10,0.753007584810257,1.0,0.24699241518974302
2026,validation,all,8,0.8,0.9,20,0.8553979396820068,0.85,0.005397939682006858
2026,validation,all,9,0.9,1.0,1718,0.9974868053329699,1.0,0.0025131946670301497
2026,validation,1.5T,0,0.0,0.1,14,0.02398243992709987,1.0,0.9760175600729001
